                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1045,                 3.5112,                  4.219,                0.00474,                0.65868,                0.07799,                0.02813,                  2.846,                 3.4676,                 4.1566,                 0.0002,                 0.0002,                 0.0002
                      2,                 3.1722,                 3.4555,                 4.1667,                0.00482,                0.66168,                0.05059,                0.01624,                 2.8374,                 3.4669,                 4.1466,             0.00041584,             0.00041584,             0.00041584
                      3,                 3.2265,                 3.4048,                 4.1194,                0.00461,                 0.6497,                0.06972,                0.02325,                 2.8004,                 3.4663,                 4.0969,             0.00062733,             0.00062733,             0.00062733
                      4,                 3.1505,                 3.3919,                 4.0711,                 0.0047,                0.66766,                0.04783,                0.01563,                 2.7733,                 3.4716,                 4.0246,             0.00083446,             0.00083446,             0.00083446
                      5,                 3.0617,                 3.2936,                 3.9274,                0.00433,                0.64072,                0.03654,                0.01099,                 2.8607,                 3.4603,                 3.7854,              0.0010372,              0.0010372,              0.0010372
                      6,                 3.0345,                 3.3498,                 3.8374,                0.01289,                0.50299,                0.02928,                 0.0093,                 2.8022,                 3.8102,                  3.655,              0.0012357,              0.0012357,              0.0012357
                      7,                 3.0469,                  3.279,                 3.7614,                0.00733,                0.59581,                 0.0319,                 0.0121,                 2.8893,                 3.4515,                  4.176,              0.0014297,              0.0014297,              0.0014297
                      8,                 2.9521,                 3.2165,                 3.6231,                0.05726,                0.16168,                0.02716,                0.00923,                 2.8243,                 4.1273,                 4.1756,              0.0016194,              0.0016194,              0.0016194
                      9,                 2.9444,                 3.1938,                 3.5411,                0.08883,                0.22156,                0.04749,                0.01471,                 2.8387,                 7.8188,                 4.5806,              0.0018048,              0.0018048,              0.0018048
                     10,                 2.8545,                 3.2161,                  3.499,                0.12739,                0.12275,                0.05445,                0.01568,                 2.8766,                 3.6377,                 4.0216,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.8528,                 3.1411,                 3.4252,                0.09422,                0.15569,                0.04149,                0.01169,                 2.8462,                 3.6505,                 3.8759,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.8152,                 3.1471,                 3.3621,                 0.0437,                0.05988,                0.01661,                0.00549,                 2.9342,                 3.5807,                 4.3329,               0.001802,               0.001802,               0.001802
                     13,                  2.716,                 3.1658,                 3.2893,                0.13424,                0.17066,                0.06429,                0.01968,                 2.6729,                 3.1797,                  3.728,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.7424,                 3.1301,                 3.3218,                0.09179,                0.17066,                0.04739,                0.01528,                 2.7253,                  3.364,                 3.7005,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.7166,                 3.0941,                  3.251,                0.11484,                0.18263,                0.05564,                0.01502,                 2.6124,                 3.3043,                 3.5468,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.6225,                 3.0339,                 3.1824,                 0.1379,                0.17964,                 0.0732,                0.01964,                 2.5524,                 3.2628,                 3.4059,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.6052,                 2.9911,                  3.192,                0.07343,                0.19162,                0.04471,                0.01189,                  2.583,                 3.8005,                 3.3527,               0.001703,               0.001703,               0.001703
                     18,                 2.6108,                 3.0192,                 3.1806,                0.06698,                0.15269,                0.03485,                0.00855,                 2.7152,                  5.064,                 3.6146,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.5503,                 2.9936,                 3.1176,                0.11217,                0.12634,                0.05937,                0.01856,                    2.6,                 3.4436,                 3.4539,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.5084,                  3.042,                 3.0983,                0.07637,                0.12275,                0.03983,                0.01239,                 2.4517,                 3.4474,                  3.221,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.5711,                 2.9544,                 3.0619,                0.04726,                0.13772,                0.03133,                0.00945,                 2.5997,                 4.2492,                 3.2504,              0.0016238,              0.0016238,              0.0016238
                     22,                  2.554,                 3.0021,                 3.0606,                0.11256,                0.05988,                0.05932,                0.01794,                 2.5437,                 4.0254,                 3.2549,               0.001604,               0.001604,               0.001604
